번호,제품명,업소명,신고번호
40488,한방에 다이어트 해결사,농업회사법인(주)케이앤바이오,2020000604511
40487,고려인삼분말,(주)고려원인삼,2004001702237
40486,프리미엄 동충하초,(주)코지맘바이오,2023002876638
40485,국민 리포좀 마그네슘,엔피케이(주),201000190041457
40484,간케어 프로바이오틱스19,(주)케이지앤에프,20040016020306
40483,넥시탑 바디슬림 캡슐,주식회사 제이비케이랩,20160007515138
40482,정직한 아기 유산균 비타민D 드롭,코스맥스엔비티(주),200700170352884
40481,셀로키즈 철분팝팝,(주)알피바이오,200400170061799
40480,뽀로로 면역대장 하이 HI 6,코스맥스엔비티(주),200700170352885
40479,비타페린,(주)알피바이오,200400170061797
40478,루테인지아잔틴 아스타잔틴 부스터,(주)비오팜,200400170211774
40477,라티락토바실러스 커바투스(Latilactobacillus curvatus) LB-P9,(주)바이텍 익산지점,2019001431752
40476,얌그루 뼈튼튼 칼슘K2 구미,(주)서흥 오송2공장,20172880295114
40475,Marine Collagen Peptides (16 oz)(전량수출용),엠에스바이오텍(주),200400200201413
40474,하루 루틴 비타민C,이앤에스(주),2022002000289
40473,키텐셜 키즈 젤리,(주)서흥헬스케어,20130020024454
40472,키성장 솔루션,(주)서흥헬스케어,20130020024455
40471,장케어 유산균 17,(주)팜투팜2공장,20180003915152
40470,삼성맥스엠에스엠 (전량수출용),(주)오투바이오,20130020008593
40469,사시장춘황제녹향단,(주)아마존허브,2015001201150
40468,비타민C 사워 펀치 구미(Vitamin C Sour Punch Gummy),(주)서흥 오송2공장,20172880295113
40467,리포좀씨 큐텐,콜마비앤에이치(주)세종3공장,20240028080143
40466,리우먼 골드,풀무원건강생활(주),20040020001357
40465,구증구포흑삼농축액4,대동고려삼(주),20040020031555
40464,POPPRO probiotic(전량수출용),콜마비앤에이치(주)음성공장,200600200033132
40463,COMPLEX Iron Renew(전량수출용),코스맥스바이오(주),200400200023832
40462,프로코어,(주)씨티씨바이오 홍천공장,202500011651
40461,하이드로 밀크씨슬 바나바 2X,우리바이오(주),20190009483679
40460,정직한 아기 비타민D 드롭,코스맥스엔비티(주),200700170352883
40459,아이&루테인,(주)비오팜2공장,202400202331
40458,비타민C SR 10시간,(주)알피바이오,200400170061796
40457,김소형원방 하나로황실 마그네슘,케이지랩 주식회사,20040017038272
40456,홍삼농축액5,피지바이오헬스 영농조합법인,20070018001132
40455,홍삼으로파워타임플러스아연,풍기인삼공사영농조합법인,2006001800123
40454,홍삼농축액3,피지바이오헬스 영농조합법인,20070018001131
40453,데이스탑,조아제약(주),20040016011104
40452,탄탄 슬리밍 트리플 부스터 샷 5일+2일,코스맥스엔비티(주),200700170352882
40451,리얼 비타민C,(주)뉴팜,20040017014657
40450,로이스트,주식회사 코스팜,20172880236365
40449,5종혼합유산균MG-4000,(주)메디오젠,20040020029790
40448,관절연골엔 난각막NEM 80캡슐,(주)서흥,200400200062039
40447,뉴트리미 칼마디앤K2,코스맥스바이오(주),200400200023830
40446,캄핏 다이아 III,(주)뉴트롬,2015001000277
40445,다이어트 100억 유산균,광동헬스바이오(주) 2공장,200400200141948
40444,데이팩 올인원,콜마비앤에이치(주)음성공장,200600200033131
40443,맥스컷프로Cr,코스맥스바이오(주),200400200023831
40442,면역엔 아연+구리,(주)웰레스트,20230029284142
40441,아이눈 EYE NOON,엠에스바이오텍(주),200400200201412
40440,아이담 루미업,주식회사 노바렉스2공장,200600200081222
40439,얌그루 키클아이,(주)서흥헬스케어,20130020024452
40438,영롱 밀크씨슬&코큐텐,주식회사 노바렉스2공장,200600200081220
40437,우먼스 더블업,주식회사 노바렉스,200400200083131
40436,이너윌 유산균,엠에스바이오텍(주),200400200201411
40435,잔티젠 이브닝 버닝컷,주식회사 노바렉스2공장,200600200081221
40434,알로에 이뮨 젤리+,(주)바이오 로제트,20040017015449
40433,크린케이에스 (CleanK S),원바이오 주식회사,2022000481844
40432,호골(好骨)스피드액,(주)삼진GNF,2006001510986
40431,활력충전 비타민C 1000,(주)한풍네이처팜,201200190071081
40430,키즈하이 키성장 젤리스틱,(주)서흥헬스케어,20130020024453
40429,혈당 브이타민,(주)오투바이오,20130020008592
40428,비타듀오 리포좀 비타민B,우리바이오(주),20190009483678
40427,듀오락 쓰리 콤보,(주)쎌바이오텍,200400170171315
40426,초임계 비타민K2 MK-7 + D3,(주)한국씨엔에스팜,200400200073270
40425,한빛365 혈행&간,(주)오투바이오,20130020008591
40424,키클래오HT042 프라임,코스맥스바이오(주),200400200023829
40423,정직한 비타민D 2000IU,(주)한국씨엔에스팜,200400200073271
40422,이너플로라 프로바이오틱스,콜마비앤에이치(주)음성공장,200600200033130
40421,비테라 프로폴리스 스프레이,서울프로폴리스(주),2010002006069
40420,비테라 수용성 프로폴리스,서울프로폴리스(주),2010002006070
40419,리포좀 마그네슘,엠에스바이오텍(주),200400200201410
40418,우먼 프로바이오틱스 레드,엔피케이(주),201000190041456
40417,바루빼슬림다이어트,(주)새롬바이오에프,2023002652521
40416,기센플러스,농업회사법인(주)고려홍삼공사,202500260207
40415,활성엽산 이너 부스터,(주)한풍네이처팜,201200190071080
40414,두뇌엔 포스파티딜세린 PS 프로맥스,(주)유유헬스케어,200400151071203
40413,세리컷 프레소 V2,(주)빈스힐,2015000609220
40412,덴프락(DENPLAC)7종 혼합유산균 분말,척척바이오랩(주),202400175754
40411,덴프락(DENPLAC)6종 혼합유산균 분말,척척바이오랩(주),202400175753
40410,온가족 혈당 & 생 유산균,(주)비오팜,200400170211773
40409,보령 프로바이오틱스 비타민D 아연,(주)비오팜,200400170211772
40408,하루틴 유산균 알파α,(주)메디오젠 충주공장,20180012174475
40407,6년근 홍삼정 시그니처업,대동고려삼(주),20040020031553
40406,하루틴 유산균 이너 알파α,(주)메디오젠 충주공장,20180012174476
40405,하루엔진 올인원 퍼펙트,콜마비앤에이치(주)음성공장,200600200033129
40404,프리미엄 칼슘 마그네슘 비타민D 아연,광동헬스바이오(주) 2공장,200400200141952
40403,인산인해 蔘 G10,대동고려삼(주),20040020031552
40402,유산균 분말,(주)서흥헬스케어 2공장,2018001205677
40401,원데이 멀티팩 프로,주식회사 노바렉스,200400200083129
40400,심플바이오 마그네슘,콜마비앤에이치(주)음성공장,200600200033127
40399,맘편한 어린이 눈건강 베타카로틴,엠에스바이오텍(주),200400200201409
40398,리포좀 비타민C 맥스,주식회사 노바렉스,200400200083130
40397,리듬핏 버닝 컷,콜마비앤에이치(주)음성공장,200600200033128
40396,나비야88,금산고려홍삼(주),2005002000921
40395,GLPro Double Cut,(주)한국인삼공사,20040020013444
40394,6년근흑삼농축액4,대동고려삼(주),20040020031554
40393,밀크씨슬 11종 복합기능성,노비스바이오(주),20040020041544
40392,골단진 앰플 (GOLDANGIN),주식회사 이수바이오,20130017122129
40391,장용성 밀크씨슬 골드,주식회사한미양행,200400150832218
40390,프리미엄 더슬림 다이어트,(주)신비바이오,2023000229663
40389,프리미엄 멀티비타민 미네랄,(주)신비바이오,2023000229664
40388,키즈맥스 뼈건강 더하기 칼슘PGA,(주)한풍네이처팜,201200190071079
40387,천마니 명품천마환,무주덕유산반딧골영농조합법인,2021001637129
40386,딥트 3일 사이언스 업,우리바이오(주),20190009483677
40385,면역플러스 베타글루칸,(주)파마피아,2020000997265
40384,하루 밸런스 프로바이오틱스,(주)한풍네이처팜,201200190071078
40383,12종 혼합유산균 1011,(주)쎌바이오텍,200400170171314
40382,WATOO 고함량 칼슘구미(전량수출용),코스맥스엔비티(주),200700170352880
40381,바이오메라 프로바이오틱스 키즈 블루베리맛,코스맥스엔비티(주),200700170352881
40380,고려흑삼분말,(주)고려원인삼,2004001702236
40379,바이옴뮤즈 프로바이오틱스,(주)신비바이오,2023000229662
40378,Nutine 홍삼진 에브리스틱EX,(주)휴온스푸디언스 금산3공장,20190016403194
40377,히보알로에이뮨부스터,케이지랩 주식회사,20040017038271
40376,키즈맥스 항균 더하기 그린프로폴리스,광동헬스바이오(주),20200016252111
40375,칼슘마그네슘골드,주식회사 뉴트리플래닛,2019001602464
40374,식후 혈당케어,코스맥스바이오(주),200400200023827
40373,비타민C 3000MG,한국바이오팜(주),20220021067115
40372,멀티비타민 미네랄,(주)웰레스트,20230029284141
40371,맥스컷 슬림 비너스,코스맥스바이오(주),200400200023828
40370,리포좀 비타민C,주식회사 노바렉스,200400200083127
40369,레몬버베나 모닝 버닝컷,주식회사 노바렉스,200400200083128
40368,레모나 올인원 이뮨 트윈샷,(주)서흥헬스케어,20130020024451
40367,다모더랩에프 캡슐(DAMOTHE LAB F CAPSULE),한국바이오팜(주),20220021067116
40366,다:담아 아임 파인 Q10 프리미엄(DADAMA I'M FINE Q10 PREMIUM),(주)유니쎌팜,20040020028797
40365,LIQUID MULTIVITAMIN(전량수출용),코스맥스바이오(주),200400200023826
40364,Calcium Madi D3(전량수출용),(주)네이처텍,20040020004591
40363,올리코스(OliCOS),(주)건풍바이오,2004001901441
40362,홍기천스틱,풍기인삼공사영농조합법인,2006001800122
40361,닥터제이케이 프로바이오틱스,(주)케비젠,20150010018137
40360,루테인지아잔틴 아스타잔틴 미니,(주)한풍네이처팜,201200190071077
40359,영롱 이스트바이오틱스 센서티브 캡슐,주식회사 내츄럴엔,20200012016185
40358,어썸 CMK 젤리스틱,(주)알피바이오,200400170061795
40357,쏘팔메토플러스,동서바이오팜(주) 안성공장,20220011370222
40356,비타채움 이뮨 멀티비타민,(주)알피바이오,200400170061794
40355,리보릭스,(주)뉴팜,20040017014656
40354,셀티바 대장비움,우리바이오(주),20190009483676
40353,P-Biotic(전량수출용),주식회사 아람,20110017019171
40352,비피도박테리움 비피둠 비피더스균 디피 2011,(주)쎌바이오텍,200400170171312
40351,글리셀,(주)신비바이오,2023000229661
40350,데이셀 엔엠엔 43500 플러스 DAYCELL NMN 43500 PLUS (전량수출용),주식회사 네추럴웨이,20040015104319
40349,마그네슘 에너지 부스트,주식회사 네추럴웨이,20040015104318
40348,삼진 토코네슘 (전량수출용),(주)세종바이오팜,20190009105422
40347,비타 몬스터 이뮨 샷,농업회사법인(주)케이앤바이오,2020000604510
40346,samjin Saffron Pomegrante Collagen (전량수출용),(주)세종바이오팜,20190009105421
40345,명품수 (전량수출용),(주)세종바이오팜,20190009105423
40344,울트라 나토징코 플러스,(주)메디바이오랩,2017278206883
40343,알티지오메가3 플러스D,큐어라벨(주),20040017016666
40342,락티카제이바실루스 카제이 유산균 1011 엠(M),(주)쎌바이오텍,200400170171313
40341,액티브 칼본,동서바이오팜(주) 안성공장,20220011370221
40340,포도과피 효소발효추출물(KL-GEFE),(주)키토라이프,2004001703723
40339,프로폴리스 면역 구미,(주)서흥 오송2공장,20172880295112
40338,아이시안 루테인 지아잔틴 플러스 케어,(주)서흥,200400200062038
40337,Daewon HealthLAB TGN Omega 3 plus Vitamin D3(전량수출용),코스맥스바이오(주),200400200023825
40336,프리미엄 옵티MSM 관절엠콘,엔피케이(주),201000190041455
40335,안티 스파이크,엔피케이(주) 2공장,2021001622989
40334,PGA 칼마디 K2,(주)비오팜,200400170211771
40333,인플핏 케이 칼륨,주식회사한미양행,200400150832217
40332,헬시부트 브레인&프로바이오틱스,(주)케비젠,20150010018136
40331,Premium Vita NMN Fucoidan,주식회사한미양행,200400150832216
40330,바노 비타민 C,(주)허브큐어,20040015162526
40329,아이슬림츄,(주)유유헬스케어,200400151071202
40328,오라라 히알브이티,(주)한미양행 선유공장,2022001022284
40327,Omega 3 rTG Premium,대원헬스케어 주식회사 2공장,20172880193303
40326,락티카제이바실루스 카제이 유산균 1010 엠(M),(주)쎌바이오텍,200400170171309
40325,피로개선 & 활력비타민,주식회사 노바렉스2공장,200600200081218
40324,프로스맨,광동헬스바이오(주) 2공장,200400200141950
40323,쿨멜팅 스틱 리포좀 C500,콜마비앤에이치(주)세종3공장,20240028080142
40322,제니홍 JENNY HONG,주식회사 메가바이오,2020001612270
40321,장에는 유산균 프로바이오틱스,(주)팜투팜2공장,20180003915151
40320,식후 혈당 건강 바나바잎,(주)한국씨엔에스팜,200400200073269
40319,삼대오백 루테인 지아잔틴 아스타잔틴 맥스,주식회사 노바렉스2공장,200600200081219
40318,기억력앤유산균,(주)팜투팜2공장,20180003915150
40317,간케어앤유산균17,(주)팜투팜2공장,20180003915148
40316,간케어&생유산균골드,(주)팜투팜2공장,20180003915149
40315,Khaitan Vitamin D3 2000IU(전량수출용),코스맥스바이오(주),200400200023824
40314,Enhanced Biotic Trio,광동헬스바이오(주) 2공장,200400200141951
40313,락토 생유산균 프리미엄,(주)세종바이오팜,20190009105420
40312,이뮨베라 키즈 밀크맛,(주)알피바이오,200400170061793
40311,데이프로바,코스맥스엔비티(주),200700170352879
40310,장용성 칼마디아 칼슘 마그네슘 비타민D 아연,주식회사한미양행,200400150832215
40309,더 파르마 코엔자임 Q10,코스맥스엔비티(주),200700170352876
40308,닥터피엔티 캄 슬립,코스맥스엔비티(주),200700170352877
